timestep,month,day,hour,minute,in_fault,alarm,flow_ratio,temp_error,temp_error_2h_avg,t_supply,S_stuck_closed,S_stuck_open,S_supply_curve,state,diagnosed_fault
61,10,1,10,10,0,0,0.4115046165404378,-0.0001664713457039,-0.0019043689569944,60.0,False,False,False,not_alarmed,
62,10,1,10,20,0,0,0.4026834085847897,-0.0001884571746231,-0.0001739989174864,59.99999999999999,False,False,False,not_alarmed,
63,10,1,10,30,0,0,0.3944481624468753,-0.0002116291970359,-0.0001746895620871,59.99999999999999,False,False,False,not_alarmed,
64,10,1,10,40,0,0,0.3872643322879536,-0.0001112913378449,-0.0001656661485798,60.0,False,False,False,not_alarmed,
65,10,1,10,50,0,0,0.3806437674624389,-0.0001090893424766,-0.0001637161077627,60.0,False,False,False,not_alarmed,
66,10,1,10,60,0,0,0.3751542184498344,-0.0001176191321654,-0.000162207913091,60.00000000000001,False,False,False,not_alarmed,
67,10,1,11,13,0,0,0.2378689944084343,-3.102584085468152e-05,-0.0001544010628163,60.0,False,False,False,not_alarmed,
68,10,1,11,20,0,0,0.2195398022645877,-6.501811442305439e-05,-0.0001460462812345,60.0,False,False,False,not_alarmed,
69,10,1,11,30,0,0,0.2079784901481712,-5.459110352745711e-05,-0.0001331063299462,60.00000000000001,False,False,False,not_alarmed,
70,10,1,11,40,0,0,0.1990538730602091,-6.628196163660505e-05,-0.0001170858058765,59.99999999999999,False,False,False,not_alarmed,
71,10,1,11,50,0,0,0.1899393893135247,-5.304190763055772e-05,-0.0001101107879254,60.0,False,False,False,not_alarmed,
72,10,1,11,60,0,0,0.1814062723350718,-4.162478116498392e-05,-0.0001013451032572,60.0,False,False,False,not_alarmed,
73,10,1,12,10,0,0,0.1747724886424515,-4.8225261977563605e-05,-9.149126294675608e-05,60.0,False,False,False,not_alarmed,
74,10,1,12,20,0,0,0.1689261927765452,-3.804648105898423e-05,-7.895703848307771e-05,60.000000000000014,False,False,False,not_alarmed,
75,10,1,12,30,0,0,0.1637184651013306,-4.295410118260179e-05,-6.490078049529539e-05,60.0,False,False,False,not_alarmed,
76,10,1,12,40,0,0,0.1588672139692152,-3.392215981179447e-05,-5.8453348992533925e-05,59.99999999999999,False,False,False,not_alarmed,
77,10,1,12,50,0,0,0.1540332654572651,-3.8314345577106224e-05,-5.255543258423737e-05,60.0,False,False,False,not_alarmed,
78,10,1,12,60,0,0,0.1492806422546173,-3.098339571749875e-05,-4.533578788024073e-05,59.99999999999999,False,False,False,not_alarmed,
79,10,1,13,10,0,0,0.1330932016727633,-2.5625353075042767e-05,-4.48857472319375e-05,60.0,False,False,False,not_alarmed,
80,10,1,13,20,0,0,0.1159300384658801,-2.483261075880705e-05,-4.153695525991689e-05,59.99999999999999,False,False,False,not_alarmed,
81,10,1,13,30,0,0,0.0940730266567046,-1.972409057771074e-05,-3.863137084743803e-05,60.00000000000001,False,False,False,not_alarmed,
82,10,1,13,40,0,0,0.0664788263823015,-1.106448448950914e-05,-3.4029914418513364e-05,60.0,False,False,False,not_alarmed,
83,10,1,13,50,0,0,0.023431623860954,-2.336079031550753e-06,-2.9804428701929453e-05,60.0,False,False,False,not_alarmed,
186,10,2,6,60,0,0,0.7482918179750474,-0.0005400449879147,-0.07326958861615,59.99999999999999,False,False,False,not_alarmed,
187,10,2,7,12,0,0,0.6885046637990192,-5.433025376078149e-05,-0.007848582969974,60.000000000000014,False,False,False,not_alarmed,
188,10,2,7,20,0,0,0.672114637713053,-0.0002183807058848,-0.0003613984605331,59.99999999999999,False,False,False,not_alarmed,
189,10,2,7,30,0,0,0.6595007816253541,-0.0002748559829726,-0.0003362947900216,60.0,False,False,False,not_alarmed,
190,10,2,7,40,0,0,0.6468392351082758,-0.0003183439626042,-0.000344233539218,60.00000000000001,False,False,False,not_alarmed,
191,10,2,7,50,0,0,0.6340671387818452,-0.0003646313586642,-0.0003566499521833,60.0,False,False,False,not_alarmed,
192,10,2,7,60,0,0,0.620873203452202,-0.0004178760697151,-0.0003718668022717,60.0,False,False,False,not_alarmed,
193,10,2,8,10,0,0,0.4429053778932879,-0.0001448838140056,-0.0003528473107078,60.0,False,False,False,not_alarmed,
194,10,2,8,20,0,0,0.4006926506245248,-0.0001891699753215,-0.0003326921684543,60.0,False,False,False,not_alarmed,
195,10,2,8,30,0,0,0.3696834478044811,-0.0001343832314653,-0.0003052651426086,60.0,False,False,False,not_alarmed,
196,10,2,8,40,0,0,0.3419734344599723,-9.29236058588856e-05,-0.0002721010143688,59.99999999999999,False,False,False,not_alarmed,
197,10,2,8,50,0,0,0.3158723940990025,-0.0001315574390794,-0.0002401151156039,59.99999999999999,False,False,False,not_alarmed,
198,10,2,8,60,0,0,0.290579095061174,-0.0001062383075414,-0.0002039645589061,59.99999999999999,False,False,False,not_alarmed,
199,10,2,9,10,0,0,0.2696212619592952,-8.172781929260964e-05,-0.0002062476893671,60.0,False,False,False,not_alarmed,
200,10,2,9,20,0,0,0.2494353083526853,-6.59851314033233e-05,-0.0001935480581603,60.0,False,False,False,not_alarmed,
201,10,2,9,30,0,0,0.2306000359728628,-5.594477944370624e-05,-0.0001753054578662,59.99999999999999,False,False,False,not_alarmed,
202,10,2,9,40,0,0,0.2138462381930019,-4.899093760712958e-05,-0.0001528593724498,60.0,False,False,False,not_alarmed,
203,10,2,9,50,0,0,0.1954836721643172,-4.651484935536132e-05,-0.0001263496633407,59.99999999999999,False,False,False,not_alarmed,
204,10,2,9,60,0,0,0.1748757704038168,-4.934397141198588e-05,-9.563865514887009e-05,60.00000000000001,False,False,False,not_alarmed,
264,10,2,19,60,0,0,0.2549841238258484,-9.915015953154692e-05,0.0006721633843168,59.99999999999999,False,False,False,not_alarmed,
330,10,3,6,60,0,0,0.6395112370359951,-0.0003553896574466,-0.0336750274984432,60.0,False,False,False,not_alarmed,
331,10,3,7,12,0,0,0.5816243272417578,-3.684899201772396e-05,-0.002168664231462,60.0,False,False,False,not_alarmed,
332,10,3,7,20,0,0,0.5725939714600353,-0.0001742791035432,-0.0003272911087828,60.0,False,False,False,not_alarmed,
333,10,3,7,30,0,0,0.5682120490237552,-0.0002034456444697,-0.0002836978950518,60.0,False,False,False,not_alarmed,
334,10,3,7,40,0,0,0.5643028575700081,-0.000216351243516,-0.0002513535781461,59.99999999999999,False,False,False,not_alarmed,
335,10,3,7,50,0,0,0.5612867760933906,-0.0002253260576061,-0.000250706637745,59.99999999999999,False,False,False,not_alarmed,
336,10,3,7,60,0,0,0.5583349755100498,-0.0002338238481378,-0.000254838646394,59.99999999999999,False,False,False,not_alarmed,
337,10,3,8,10,0,0,0.3695806844385901,-0.0001397136269964,-0.0002429952223052,60.0,False,False,False,not_alarmed,
338,10,3,8,20,0,0,0.3293433942811722,-0.000113799830153,-0.0002262078778416,60.00000000000001,False,False,False,not_alarmed,
339,10,3,8,30,0,0,0.2983022943685958,-9.446445992367104e-05,-0.0002066292462726,59.99999999999999,False,False,False,not_alarmed,
340,10,3,8,40,0,0,0.2710067178754073,-8.17604123426463e-05,-0.0001851949724391,59.99999999999999,False,False,False,not_alarmed,
341,10,3,8,50,0,0,0.2418836799436315,-7.775521039832256e-05,-0.0001627465072126,60.0,False,False,False,not_alarmed,
