fault_type,fault_label,severity_tag,severity_value,param_label,ddh_baseline,ddh_faulty,ddh_comp,ddh_recovery_pct,energy_baseline_kWh,energy_faulty_kWh,energy_comp_kWh,energy_delta_pct
stuck_closed,Stuck-Closed,sc_s10,0.1,Flow fraction φ,0.07088616390746662,42.66760588460293,34.44591028341052,19.301241163877524,710.8398283344235,330.37313856745754,404.32459183491744,-43.12015510128424
stuck_closed,Stuck-Closed,sc_s20,0.2,Flow fraction φ,0.07088616390746662,21.59234462541845,12.532816028786117,42.095328310738836,710.8398283344235,524.1769438570105,607.8766742896727,-14.484719333468538
stuck_closed,Stuck-Closed,sc_s30,0.3,Flow fraction φ,0.07088616390746662,9.855583352468386,6.082161862456795,38.56451985476891,710.8398283344235,627.4662488607942,660.2918288288012,-7.111025225480386
stuck_closed,Stuck-Closed,sc_s50,0.5,Flow fraction φ,0.07088616390746662,3.230743132949297,2.1879438684296177,33.00147046959183,710.8398283344235,684.5994356751356,693.627212475149,-2.421447866758612
stuck_closed,Stuck-Closed,sc_s70,0.7,Flow fraction φ,0.07088616390746662,1.0925385354355917,1.0925385354355917,0.0,710.8398283344235,701.8836615040186,701.8836615040186,-1.2599416174231766
stuck_open,Stuck-Open,so_b05,0.5,Bias ΔT [°C],0.07088616390746662,8.440112863845437,8.440112863845437,0.0,710.8398283344235,794.6313672394142,794.6313672394142,11.787682057900945
stuck_open,Stuck-Open,so_b10,1.0,Bias ΔT [°C],0.07088616390746662,16.3672145364923,6.221874036121403,62.2553759866444,710.8398283344235,876.1987149951921,834.8798775805136,17.44978886969934
stuck_open,Stuck-Open,so_b20,2.0,Bias ΔT [°C],0.07088616390746662,30.54833618070822,9.566370866104734,68.84422844771179,710.8398283344235,1029.1313601325849,874.8173601826522,23.068140713562194
stuck_open,Stuck-Open,so_b40,4.0,Bias ΔT [°C],0.07088616390746662,48.43470991052701,10.906375507829285,77.59587951380874,710.8398283344235,1246.2550027215923,892.6946822796288,25.583098568254307
stuck_open,Stuck-Open,so_b60,6.0,Bias ΔT [°C],0.07088616390746662,49.4255914890259,10.906375507829285,78.04568121206623,710.8398283344235,1262.0409097222978,892.6946822796288,25.583098568254307
supply_curve,Supply-Curve Bias,scu_k02,2.0,OAT bias ΔT [K],14.603152727021122,15.689797989468648,15.689797989468648,0.0,1316.8684388339907,1310.3153841692808,1310.3153841692808,-0.4976240960343924
supply_curve,Supply-Curve Bias,scu_k05,5.0,OAT bias ΔT [K],14.603152727021122,18.05473988079593,15.790389287771632,65.6031701400877,1316.8684388339907,1297.4475863401099,1313.3687839713523,-0.2657558461752752
supply_curve,Supply-Curve Bias,scu_k08,8.0,OAT bias ΔT [K],14.603152727021122,21.021327815300168,17.3496617578608,57.20732150396787,1316.8684388339907,1279.928039641274,1306.8883877416727,-0.7578624255855643
supply_curve,Supply-Curve Bias,scu_k12,12.0,OAT bias ΔT [K],14.603152727021122,25.890279980326653,20.0026564687668,52.162285224839756,1316.8684388339907,1249.7770960505136,1292.0520085612632,-1.8845033824867894
supply_curve,Supply-Curve Bias,scu_k15,15.0,OAT bias ΔT [K],14.603152727021122,32.276019232296605,22.872104119273136,53.21103461182333,1316.8684388339907,1218.6754072393471,1280.3901066858932,-2.7700817387951746
